,,,,,Xist,,,,Tsix,,,,Ddx3x,,,,Ddx3y,,,,Eif1ax,,,,Ezh2,,,,Ftx,,,,Jpx,,,,,,,,,Kdm6a,,,,Pcgf3,,,,Pcgf5,,,,Rlim,,,,Rps4x,,,,Spen,,,,Suz12,,,,Usp9x,,,,Usp9y,,,
Tissue,Cell Type,Cell Count,Tissue Composition,Sex,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction
adipose tissue,aggregated,205671,28.60%,aggregated,3.014792804,0.422374483,58824,28.60%,1.876080819,0.127016813,15980,7.77%,1.904935592,0.134501128,32857,15.98%,1.90853131,0.13543378,21871,10.63%,1.761117136,0.097197679,3856,1.87%,1.915663788,0.137283793,15066,7.33%,1.909717328,0.135741408,19686,9.57%,1.833750161,0.116037141,4624,2.25%,Kdm5c,1.896839483,0.132401169,32203,15.66%,1.949969097,0.146181861,51117,24.85%,1.858627794,0.12248987,15754,7.66%,1.935901683,0.142533073,26764,13.01%,1.863487623,0.123750406,16051,7.80%,2.874455599,0.385973997,17271,8.40%,1.903090948,0.134022666,27692,13.46%,1.892950513,0.131392453,24761,12.04%,1.961984394,0.149298373,65357,31.78%,1.828051783,0.114559103,119,0.06%
adipose tissue,cell,205671,28.60%,aggregated,3.014793069,0.422374551,58824,28.60%,1.876080941,0.127016845,15980,7.77%,1.904935592,0.134501128,32857,15.98%,1.90853131,0.13543378,21871,10.63%,1.761117136,0.097197679,3856,1.87%,1.915663788,0.137283793,15066,7.33%,1.909717328,0.135741408,19686,9.57%,1.833750372,0.116037195,4624,2.25%,Kdm5c,1.896839483,0.132401169,32203,15.66%,1.949968944,0.146181821,51117,24.85%,1.85862767,0.122489837,15754,7.66%,1.935901683,0.142533073,26764,13.01%,1.863487502,0.123750374,16051,7.80%,2.874455599,0.385973997,17271,8.40%,1.903090807,0.134022629,27692,13.46%,1.892950513,0.131392453,24761,12.04%,1.961984275,0.149298342,65357,31.78%,1.828051783,0.114559103,119,0.06%
adipose tissue,    male,138061,0.01%,male,1.74990743,0.09429012,30,0.02%,2.046488248,0.171216876,26,0.02%,1.927026576,0.140231059,20762,15.04%,1.908638314,0.135461535,21861,15.83%,1.767416968,0.098831721,2842,2.06%,1.930657353,0.141172805,9898,7.17%,1.911168593,0.136117836,12118,8.78%,1.847491754,0.119601418,2814,2.04%,Kdm5c,1.88551469,0.129463759,17016,12.32%,1.925593447,0.139859336,26166,18.95%,1.866289171,0.124477068,10423,7.55%,1.940198467,0.143647567,16666,12.07%,1.877334451,0.127341979,11888,8.61%,2.836243798,0.376062668,11363,8.23%,1.911203812,0.13612697,19215,13.92%,1.899015706,0.132965635,16268,11.78%,1.976085553,0.152955914,43211,31.30%,1.784690198,0.10331203,81,0.06%
adipose tissue,    female,67610,28.59%,female,3.015438438,0.422541946,58794,86.96%,1.875803213,0.126944808,15954,23.60%,1.867014553,0.124665216,12095,17.89%,1.674638748,0.074767024,10,0.01%,1.74346033,0.092617879,1014,1.50%,1.886947207,0.129835323,5168,7.64%,1.907393409,0.135138633,7568,11.19%,1.812386427,0.110495843,1810,2.68%,Kdm5c,1.909528272,0.135692371,15187,22.46%,1.975531573,0.152812223,24951,36.90%,1.843648332,0.118604516,5331,7.88%,1.92881016,0.140693683,10098,14.94%,1.823945697,0.113494071,4163,6.16%,2.947949285,0.405036695,5908,8.74%,1.884701112,0.129252734,8477,12.54%,1.881332766,0.128379056,8493,12.56%,1.934470213,0.14216178,22146,32.76%,1.920480427,0.138533127,38,0.06%
adipose tissue,mononuclear phagocyte,62469,2.79%,aggregated,2.732531309,0.349161854,5738,9.19%,1.893645543,0.131572729,1314,2.10%,1.987394513,0.155889218,10339,16.55%,1.979860539,0.153935065,10549,16.89%,1.796617188,0.106405637,1375,2.20%,1.997195571,0.158431404,5590,8.95%,1.927785681,0.140427955,6167,9.87%,1.886742836,0.129782314,1936,3.10%,Kdm5c,1.942563835,0.144261093,8556,13.70%,1.987840068,0.156004785,13923,22.29%,1.893583869,0.131556732,5254,8.41%,2.000720381,0.159345665,7117,11.39%,1.91363101,0.136756534,7824,12.52%,2.250126978,0.224036431,398,0.64%,1.95465696,0.147397793,11051,17.69%,1.943556957,0.144518688,9035,14.46%,2.032529388,0.167596244,20826,33.34%,1.772456487,0.100138865,48,0.08%
adipose tissue,    male,55658,0.00%,male,1.927482605,0.140349343,4,0.01%,2.064798628,0.175966199,7,0.01%,1.999470089,0.159021365,9137,16.42%,1.979872702,0.15393822,10548,18.95%,1.799644059,0.107190743,1298,2.33%,1.998986063,0.158895819,5069,9.11%,1.932371961,0.141617538,5396,9.69%,1.892741588,0.131338262,1622,2.91%,Kdm5c,1.936114235,0.142588204,7107,12.77%,1.976073039,0.152952668,11173,20.07%,1.897950772,0.132689414,4715,8.47%,1.996063963,0.158137889,6098,10.96%,1.917559648,0.137775539,7209,12.95%,2.090558113,0.182647661,267,0.48%,1.954639685,0.147393312,9836,17.67%,1.946455866,0.145270604,8091,14.54%,2.037030971,0.168763859,18509,33.25%,1.734779713,0.090366311,43,0.08%
adipose tissue,    female,6811,2.79%,female,2.7330929,0.349307519,5734,84.19%,1.892728868,0.131334963,1307,19.19%,1.895602869,0.132080418,1202,17.65%,1.850783825,0.120455311,1,0.01%,1.745593182,0.093171096,77,1.13%,1.979774753,0.153912814,521,7.65%,1.895687672,0.132102414,771,11.32%,1.855755848,0.121744948,314,4.61%,Kdm5c,1.974197251,0.152466129,1449,21.27%,2.035648615,0.168405306,2750,40.38%,1.855382803,0.121648188,539,7.91%,2.028586256,0.16657348,1019,14.96%,1.867579514,0.124811756,615,9.03%,2.575355355,0.308393755,131,1.92%,1.954796007,0.147433859,1215,17.84%,1.918710741,0.138074108,944,13.86%,1.996569176,0.15826893,2317,34.02%,2.096476173,0.18418268,5,0.07%
adipose tissue,professional antigen presenting cell,55669,2.20%,aggregated,2.73215552,0.349064383,4528,8.13%,1.896574581,0.132332459,1065,1.91%,1.980504292,0.154102041,9177,16.48%,1.96908637,0.151140475,9511,17.08%,1.793797084,0.105674162,1260,2.26%,1.991200245,0.156876344,4932,8.86%,1.919108867,0.138177374,5535,9.94%,1.875800113,0.126944004,1724,3.10%,Kdm5c,1.929478847,0.140867126,7423,13.33%,1.977997383,0.153451802,12060,21.66%,1.885541063,0.129470599,4705,8.45%,1.989284361,0.156379404,6143,11.03%,1.905328079,0.13460293,6988,12.55%,2.286852143,0.233562158,345,0.62%,1.940197413,0.143647294,9691,17.41%,1.93788371,0.143047169,8078,14.51%,2.026607223,0.166060161,18674,33.54%,1.781278211,0.102427033,43,0.08%
adipose tissue,    male,50305,0.00%,male,1.927482605,0.140349343,4,0.01%,2.064798628,0.175966199,7,0.01%,1.988111398,0.156075162,8216,16.33%,1.969098728,0.15114368,9510,18.90%,1.795538502,0.106125849,1206,2.40%,1.991266478,0.156893523,4554,9.05%,1.922760401,0.139124504,4917,9.77%,1.880579502,0.128183676,1469,2.92%,Kdm5c,1.922953294,0.139174536,6326,12.58%,1.967823133,0.150812818,9963,19.81%,1.88849527,0.130236858,4291,8.53%,1.982779609,0.15469221,5386,10.71%,1.90908612,0.135577686,6544,13.01%,2.113858994,0.188691414,219,0.44%,1.939865456,0.143561191,8782,17.46%,1.939287015,0.143411156,7337,14.59%,2.029969038,0.166932144,16830,33.46%,1.730788598,0.089331101,39,0.08%
